,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
526,Seattle Data Science in Action,Seattle,USA,US/Canada,1438,https://www.meetup.com/meetup-datascience/,12-10-2017,14,0,public,21-08-2019
527,Data Science Philippines - Cebu Chapter,Cebu,Philippines,Asia,180,https://www.meetup.com/Data-Science-Philippines-Cebu-Chapter/,03-02-2018,0,0,public,01-01-1970
528,Data Science Festival - Melbourne,Melbourne,Australia,Australia,387,https://www.meetup.com/Data-Science-Festival-Melbourne/,22-06-2020,37,0,public,18-12-2020
529,BCG GAMMA Data Science Group,São Paulo,Brazil,Latin America,1012,https://www.meetup.com/BCG-GAMMA-Data-Science-Group/,13-05-2020,4,0,public,10-06-2021
530,European Data Science Community,Paris,France,Europe,1005,https://www.meetup.com/European-data-science-community/,07-07-2019,453,19,public,11-06-2021
531,"London Data Science, ML, AI Platform",London,United Kingdom,Europe,831,https://www.meetup.com/London-Data-Science-ML-AI-Platform/,14-09-2020,42,2,public,24-05-2021
532,The Assembly: Data Science,Dubai,U.A.E.,Asia,605,https://www.meetup.com/The-Assembly-Data-Science/,10-11-2019,21,0,public,12-06-2021
533,Romania Data Science 360 Think Tank Meetup Group,Bucharest,Romania,Europe,15,https://www.meetup.com/bucharest-data-science-360-think-tank-meetup-group/,05-05-2021,1,0,public,22-05-2021
534,Learnbay : Data Science Meetup Bangalore,Bangalore,India,Asia,5441,https://www.meetup.com/Bangalore-Data-Science-Meetup-Learnbay/,19-06-2017,41,0,public,17-05-2021
535,Aachen Data Science Meetup (OSTHUS),Aachen,Germany,Europe,98,https://www.meetup.com/Osthus-Data-Science-Meetup-Group/,19-05-2020,2,1,public,27-11-2020
536,WiDS TLV - Women in Data Science,Tel Aviv-Yafo,Israel,Asia,20,https://www.meetup.com/WIDSxTLV/,23-05-2021,0,0,public,01-01-1970
537,Data Science Strasbourg,Strasbourg,France,Europe,829,https://www.meetup.com/data-science-strasbourg/,03-07-2014,27,0,public,04-11-2020
538,Psychology in Data Science,London,United Kingdom,Europe,110,https://www.meetup.com/Psychology-in-Data-Science/,07-03-2020,0,0,public,01-01-1970
539,Norrköping Data Science Community,Norrköping,Sweden,Europe,163,https://www.meetup.com/Norrkoping-Data-Science-Community/,03-05-2019,6,0,public,03-11-2020
541,Women in Data Science (WiDS) Cambridge,Cambridge,USA,US/Canada,109,https://www.meetup.com/Women-in-Data-Science-WiDS-Cambridge/,12-03-2020,0,0,public,01-01-1970
542,Bronx Data Science Meetup,Bronx,USA,US/Canada,130,https://www.meetup.com/Bronx-Big-Data-Meetup/,07-11-2017,1,0,public,05-03-2018
543,Spatial Data Science NYC,New York,USA,US/Canada,97,https://www.meetup.com/Spatial-Data-Science-NYC/,24-01-2020,2,1,public,24-03-2021
544,Data Science and Analytics - Southern Oregon,Medford,USA,US/Canada,22,https://www.meetup.com/meetup-group-dpxhbtmz/,26-11-2020,1,0,public,05-01-2021
545,"CREWES - Seismic, Machine Learning and Data Science Research",Calgary,Canada,US/Canada,51,https://www.meetup.com/crewes/,06-05-2021,3,0,public,10-06-2021
546,Nürnberg Data Science,Nürnberg,Germany,Europe,101,https://www.meetup.com/Nuernberg-Data-Science/,05-02-2020,1,0,public,06-03-2020
547,Data Science Exeter,Exeter,United Kingdom,Europe,448,https://www.meetup.com/Data-Science-Exeter/,02-03-2016,14,0,public,14-03-2018
548,Istanbul - Quematics Data Science & Machine Learning,Istanbul,Turkey,Europe,387,https://www.meetup.com/Istanbul-Quematics-Data-Science-Machine-Learning/,04-03-2020,6,0,public,07-12-2020
549,Southern California Data Science and Datapreneurship,Rancho Cucamonga,USA,US/Canada,204,https://www.meetup.com/Southern-California-Data-Science-and-Datapreneurship/,09-03-2019,26,0,public,21-03-2021
551,Data Science Minneapolis,Minneapolis,USA,US/Canada,1720,https://www.meetup.com/Data-Science-Minneapolis/,05-02-2019,18,0,public,06-04-2021
552,Data Science Malmö,Malmö,Sweden,Europe,330,https://www.meetup.com/Data-Science-Malmo/,21-05-2018,13,0,public,10-09-2019
553,Data Science Mumbai,Mumbai,India,Asia,1192,https://www.meetup.com/ik2analytics/,23-10-2018,46,0,public,15-05-2021
554,Eblocks Data Analytics Group (E-DAG),Johannesburg,South Africa,Africa,69,https://www.meetup.com/eblocks-data-science-group-e-dag/,12-02-2020,0,0,public,01-01-1970
555,Data Council London Data Engineering & Science,London,United Kingdom,Europe,682,https://www.meetup.com/DataCouncil-AI-London-Data-Engineering-and-Science/,15-11-2018,10,0,public,15-12-2020
